ds,Prediction
2021-10-04,54437.56962995353
2021-10-05,55140.35998372133
2021-10-06,55245.39434744445
2021-10-07,55586.13189237167
2021-10-08,55441.87021690171
2021-10-09,55544.66734456575
2021-10-10,56138.44633605007
2021-10-11,56625.93946752241
2021-10-12,57328.72982135147
2021-10-13,57433.764187903085
2021-10-14,57774.50173565951
2021-10-15,57630.24006301707
2021-10-16,57733.037193449025
2021-10-17,58326.81610059081
2021-10-18,58814.309147721906
2021-10-19,59517.099417208934
2021-10-20,59622.13369665089
2021-10-21,59937.37585351744
2021-10-22,59767.61878998462
2021-10-23,59844.92052952745
2021-10-24,60413.20413289035
2021-10-25,60836.73189247532
2021-10-26,61475.556874416376
2021-10-27,61516.62586631239
2021-10-28,61793.39803941351
2021-10-29,61543.915188329804
2021-10-30,61541.491140321436
2021-10-31,62030.04895613305
2021-11-01,62412.32091193224
2021-11-02,62916.619060407735
2021-11-03,62823.16121883789
2021-11-04,62965.406558473864
2021-11-05,62622.6526777084
2021-11-06,62382.767344125976
2021-11-07,62633.86387436276
2021-11-08,62778.67454458797
2021-11-09,63138.78243716837
2021-11-10,62711.41212206784
2021-11-11,62519.744988173006
2021-11-12,61843.078633877136
2021-11-13,61413.4710826584
2021-11-14,61324.254563539005
2021-11-15,61128.75218440827
2021-11-16,61148.54702763452
2021-11-17,60570.58588081493
2021-11-18,60216.59248602219
2021-11-19,59377.59987082952
2021-11-20,58785.66605871459
2021-11-21,58684.71411041728
2021-11-22,58477.47630010846
2021-11-23,58485.535712155375
2021-11-24,57895.839134156544
2021-11-25,57541.84573736335
2021-11-26,56702.85312017076
2021-11-27,56110.91930093633
2021-11-28,56009.96734552172
2021-11-29,55802.72953009533
2021-11-30,55810.788937025674
2021-12-01,55221.092348195634
2021-12-02,54867.09894057042
2021-12-03,54028.10631254568
2021-12-04,53436.17248759628
2021-12-05,53335.22053240391
2021-12-06,53127.982717199244
2021-12-07,53136.042124350504
2021-12-08,52546.34554145689
2021-12-09,52204.10062227158
2021-12-10,51376.85648268709
2021-12-11,50796.67114617843
2021-12-12,50707.46767348786
2021-12-13,50584.85247434804
2021-12-14,50677.53449756214
2021-12-15,50172.46053073187
2021-12-16,49903.089745106045
2021-12-17,49205.06903374726
2021-12-18,48754.107125464725
2021-12-19,48794.127081001156
2021-12-20,48727.861176527724
2021-12-21,48876.89250486694
2021-12-22,48428.167843161405
2021-12-23,48215.14636266107
2021-12-24,47517.12566176063
2021-12-25,47066.16377705524
2021-12-26,47106.183756168706
2021-12-27,47039.91787527263
2021-12-28,47188.94921672993
2021-12-29,46740.2245718438
2021-12-30,46527.20310816279
2021-12-31,45829.18242408024
2022-01-01,45378.220543075746
2022-01-02,45418.24052425961
2022-01-03,45351.97464543189
2022-01-04,45501.00598896012
2022-01-05,45052.28134244318
2022-01-06,44839.2598914817
2022-01-07,44141.23922011943
2022-01-08,43690.2773518359
2022-01-09,43730.29734737092
2022-01-10,43664.03160798147
2022-01-11,43813.06309094817
2022-01-12,43364.33858386981
2022-01-13,43151.317257996525
2022-01-14,42453.447460367606
2022-01-15,42002.63646581471
2022-01-16,42042.80733508189
2022-01-17,41976.6923443371
2022-01-18,42125.87457594798
2022-01-19,41677.300817514115
2022-01-20,41464.43024028451
2022-01-21,40766.56044265584
2022-01-22,40315.74944810366
2022-01-23,40355.920317371296
2022-01-24,40289.8053266248
2022-01-25,40438.98755823641
2022-01-26,39990.413799802474
2022-01-27,39777.54322257249
2022-01-28,39079.67342494409
2022-01-29,38628.86243039261
2022-01-30,38669.03329965795
2022-01-31,38602.91830891325
2022-02-01,38752.10054052476
2022-02-02,38303.52678209051
2022-02-03,38090.656204860476
2022-02-04,37392.786407233
2022-02-05,36941.97541267991
2022-02-06,36982.14628194669
2022-02-07,36916.03129120168
2022-02-08,37065.21352281316
2022-02-09,36616.63976437921
2022-02-10,36403.769187150196
2022-02-11,35705.89938952206
2022-02-12,35255.08839496887
2022-02-13,35295.25926423543
2022-02-14,35229.144273490136
2022-02-15,35378.326505101235
2022-02-16,34929.75274666723
2022-02-17,34716.88216943818
2022-02-18,34019.012371809484
2022-02-19,33568.20137725699
2022-02-20,33608.372246524166
2022-02-21,33542.257255778975
2022-02-22,33691.43948738962
2022-02-23,33242.86572895528
2022-02-24,33029.995151726165
2022-02-25,32332.125354097734
2022-02-26,31881.31435954519
2022-02-27,31921.48522881083
2022-02-28,31855.37023806703
2022-03-01,32004.552469677994
2022-03-02,31555.978711243977
2022-03-03,31343.10813401526
2022-03-04,30645.238336385977
2022-03-05,30194.427341833318
2022-03-06,30234.598211098877
2022-03-07,30168.48322035586
2022-03-08,30317.665451966375
2022-03-09,29869.091693532217
2022-03-10,29656.221116303874
2022-03-11,28958.351318674224
2022-03-12,28507.540324122278
2022-03-13,28547.711193388302
2022-03-14,28481.59620264317
2022-03-15,28630.778434254775
2022-03-16,28182.204675820583
2022-03-17,27969.334098591222
2022-03-18,27271.464300961663
2022-03-19,26820.653306409582
2022-03-20,26860.824175676356
2022-03-21,26794.709184931613
2022-03-22,26943.891416543167
2022-03-23,26495.317658108615
2022-03-24,26282.447080879832
2022-03-25,25584.577283251376
2022-03-26,25133.766288698596
2022-03-27,25173.937157965087
2022-03-28,25107.822167220063
2022-03-29,25257.00439883153
2022-03-30,24808.430640397524
2022-03-31,24595.560063168457
2022-04-01,23897.690265539626
2022-04-02,23446.87927098673
2022-04-03,23487.050140253832
